strategy,filter_mode,start,end,years,final_equity,CAGR,MaxDD,MAR,ann_vol,Sharpe,exposure,avg_positions,win_rate,payoff,expectancy,avg_hold_days,n_trades,trades_per_year,total_commission,bench_CAGR,bench_MaxDD,bench_MAR,bench_start,market,variant,display,label,kind
techtrader,none,1998-09-01,2026-04-30,27.66,28749104.49,0.1291018068398051,-0.6749583364991191,0.1912737421830089,0.2203390592045206,0.585923382381204,0.8923913237078119,17.5,0.2907749077490775,4.005342491974108,0.0654813048600406,87.80590405904059,1355,49.0,54578.48,0.1188672049796353,-0.6425598915640467,0.1849900788085328,2005-09-26,india,raw,TechTrader,TechTrader (raw),UG-raw
techtrader,no_new_entries,1998-09-01,2026-04-30,27.66,19110778.13,0.1125552314511222,-0.6180100780096844,0.18212523623176,0.2046101886269492,0.5500959273163857,0.8058967359111995,15.73,0.2871621621621621,3.9233908356712783,0.0604653843663247,90.89273648648648,1184,42.8,47367.12,0.1188672049796353,-0.6425598915640467,0.1849900788085328,2005-09-26,india,filtered,TechTrader,TechTrader (filtered),UG-filtered
flipper,none,1998-09-01,2026-04-30,27.66,7059175.21,0.0732099393541734,-0.6603731569286226,0.1108614706489143,0.2433331297447046,0.3008630161909409,0.9493407632079364,18.99,0.34326171875,2.4250610217548303,0.0287767860254665,62.734375,2048,74.0,82283.4,0.1188672049796353,-0.6425598915640467,0.1849900788085328,2005-09-26,india,raw,20% Flipper,20% Flipper (raw),UG-raw
flipper,trailing_10pct,1998-09-01,2026-04-30,27.66,14103963.07,0.1004028420905234,-0.5229478746004641,0.1919939767748973,0.1890673497229297,0.5310427328550359,0.6302652119527961,12.55,0.3778437190900099,2.4970614559753272,0.0362282822656102,42.61028684470821,2022,73.1,80880.0,0.1188672049796353,-0.6425598915640467,0.1849900788085328,2005-09-26,india,filtered,20% Flipper,20% Flipper (filtered),UG-filtered
bbo,none,1998-09-01,2026-04-30,27.66,75456815.18,0.1691863439879333,-0.6392860701791748,0.2646488823704775,0.2364356996616808,0.7155702130855214,0.8675394907770048,17.27,0.4323699421965318,3.114036777205752,0.1793243018803698,135.0624277456647,865,31.3,34982.23,0.1188672049796353,-0.6425598915640467,0.1849900788085328,2005-09-26,india,raw,Bollinger Breakout,Bollinger Breakout (raw),UG-raw
bbo,no_new_entries,1998-09-01,2026-04-30,27.66,54217942.26,0.1552974846174744,-0.5779777729774792,0.2686911017658209,0.2285359914019589,0.6795318481994833,0.7931305089700235,15.68,0.4579673776662484,2.9501355035088683,0.1680274264044192,134.34253450439147,797,28.8,31940.0,0.1188672049796353,-0.6425598915640467,0.1849900788085328,2005-09-26,india,filtered,Bollinger Breakout,Bollinger Breakout (filtered),UG-filtered
clenow,,1998-09-02,2026-04-30,,236544867.05959123,0.21851732442860627,-0.3870721087881085,0.5645390599513005,0.1827174499224737,1.1959302437797938,0.7432646078790272,30.81517623070201,0.4677383836159436,,,,4541,,446880.0,,,,,india,book,Clenow,Clenow — book (uncapped),Clenow
clenow,,1998-09-02,2026-04-30,,17903309.499324147,0.10994463430678802,-0.1860827542328087,0.5908373119264774,0.09875539777594261,1.1133025311308216,0.386728644478407,15.587678415380134,0.476878612716763,,,,2076,,229460.0,,,,,india,cap20,Clenow,Clenow — 20-position cap,Clenow-cap20
buyhold,,2005-09-26,2026-04-30,,10102232.015585683,0.11886720497963532,-0.6425598915640467,0.18499007880853285,0.20398554402838512,0.582723670669009,,,,,,,0,,,,,,,india,benchmark,Buy & Hold,Buy & Hold — Nifty 500,BuyHold
buyhold,,1998-09-01,2026-04-30,,26868875.194509514,0.12634419444808853,-0.6090513649810123,0.20744423494072198,0.22167601417631114,0.5699497752048178,,,,,,,0,,,,,,,india,benchmark-full,Buy & Hold,"Buy & Hold — Sensex (full window, price-only)",BuyHold-full
